City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Sfantu Gheorghe,RO,45.8667,25.7833,30.65,90,75,1.86,broken clouds
277,Pisco,PE,-13.7,-76.2167,75.25,64,0,19.57,clear sky
278,Currais Novos,BR,-6.2608,-36.5178,77.49,66,37,20.89,scattered clouds
279,Naryan-Mar,RU,67.6713,53.087,12.18,91,100,19.82,overcast clouds
280,Atasu,KZ,48.6814,71.6433,13.41,92,100,28.21,light snow
281,Dickinson,US,29.4608,-95.0513,68.2,38,60,5.01,broken clouds
282,Ratnagiri,IN,16.9833,73.3,70.29,57,28,7.36,scattered clouds
283,Huacho,PE,-11.1067,-77.605,73.02,76,11,10.87,few clouds
284,Cache Creek,CA,50.8101,-121.3246,43.38,86,100,4.23,overcast clouds
285,Thinadhoo,MV,0.5333,72.9333,81.41,75,100,9.62,overcast clouds
286,Ullapool,GB,57.8987,-5.1604,40.35,89,78,5.84,broken clouds
287,Khatanga,RU,71.9667,102.5,-31.25,100,37,1.3,scattered clouds
288,Matay,EG,28.419,30.7792,54.48,75,1,15.9,clear sky
289,Rezekne,LV,56.5,27.3167,30.85,80,92,13.24,overcast clouds
290,Backo Petrovo Selo,RS,45.7081,20.0753,43.39,79,93,11.63,overcast clouds
291,Kamenskiy,RU,50.8855,45.488,15.35,88,24,13.04,few clouds
292,Ngunguru,NZ,-35.6167,174.5,74.16,56,33,11.52,scattered clouds
293,Port Lincoln,AU,-34.7333,135.8667,64.83,76,100,14.47,overcast clouds
294,Svobodnyy,RU,51.4,128.1333,-0.38,91,100,6.62,overcast clouds
295,Komsomolskiy,UZ,40.4272,71.7189,39.92,60,75,18.41,broken clouds
296,Natal,BR,-5.795,-35.2094,83.05,78,40,13.8,scattered clouds
297,Beyla,GN,8.6833,-8.6333,80.92,15,70,2.33,broken clouds
298,Saint-Pierre,RE,-21.3393,55.4781,80.24,78,0,3.44,clear sky
299,Norman Wells,CA,65.282,-126.8329,-16.56,63,75,16.11,broken clouds
300,Nieuw Amsterdam,SR,5.8833,-55.0833,75.22,94,75,2.3,broken clouds
301,Raudeberg,NO,61.9875,5.1352,36.27,79,100,11.01,overcast clouds
302,Portobelo,PA,9.55,-79.65,86.41,82,37,16.28,scattered clouds
303,Pichayevo,RU,53.2363,42.2032,21.22,92,80,10.09,broken clouds
304,Poum,NC,-20.2333,164.0167,82.4,75,80,8.3,broken clouds
305,Aklavik,CA,68.2191,-135.0107,-18.4,63,20,5.75,few clouds
306,Nsanje,MW,-16.92,35.262,72.66,98,96,1.9,light rain
307,Quatre Cocos,MU,-20.2078,57.7625,80.71,89,49,9.82,light rain
308,Myitkyina,MM,25.3833,97.4,50.56,64,0,2.82,clear sky
309,Kavaratti,IN,10.5669,72.642,80.1,73,19,3.51,few clouds
310,Bose,IT,45.4612,8.0137,37.65,93,100,1.74,light snow
311,Namwala,ZM,-15.7504,26.4384,64.83,96,99,2.39,overcast clouds
312,Touros,BR,-5.1989,-35.4608,83.3,74,8,15.01,clear sky
313,Jerusalem,IL,31.769,35.2163,46.71,91,0,4.34,clear sky
314,Ciudad Bolivar,VE,8.1222,-63.5497,82.99,51,93,12.75,overcast clouds
315,Sinnamary,GF,5.3833,-52.95,76.87,90,95,14.25,overcast clouds
316,Hamilton,US,39.1834,-84.5333,32.41,56,0,8.05,clear sky
317,San Joaquin,US,37.9333,-121.3011,72.48,55,0,10.36,clear sky
318,Port Hardy,CA,50.6996,-127.4199,50.18,66,20,11.5,few clouds
319,Plouzane,FR,48.3833,-4.6167,46.45,81,75,11.5,broken clouds
320,Manga,BF,11.6636,-1.0731,79.48,13,3,8.72,clear sky
321,Bud,US,39.447,-86.1758,33.24,50,6,2.8,clear sky
322,Lishui,CN,28.4604,119.9103,40.82,94,36,2.1,scattered clouds
323,Samdrup Jongkhar,BT,26.9167,91.6167,49.15,55,0,5.61,clear sky
324,San Luis,AR,-33.295,-66.3356,79.81,34,1,1.74,clear sky
325,Morgan City,US,29.6994,-91.2068,66.2,34,0,9.22,clear sky
326,San Clemente,US,33.427,-117.612,85.26,67,18,3,few clouds
327,Zemio,CF,5.0314,25.1361,72.95,26,68,0.74,broken clouds
328,Fort Nelson,CA,58.8053,-122.7002,9.99,61,40,4.61,scattered clouds
329,Berlevag,NO,70.8578,29.0864,30.88,73,100,41.83,light snow
330,Sao Borja,BR,-28.6606,-56.0044,78.94,19,1,6.69,clear sky
331,Walvis Bay,NA,-22.9575,14.5053,74.35,83,87,2.3,overcast clouds
332,Corner Brook,CA,48.9667,-57.9484,12.33,94,100,8.72,light snow
333,Santa Marinella,IT,42.0345,11.8536,53.1,90,95,17.54,overcast clouds
334,Verkhnevilyuysk,RU,63.4453,120.3167,-30.37,100,95,2.75,overcast clouds
335,Iqaluit,CA,63.7506,-68.5145,-15.07,70,100,4.61,light snow
336,Atikokan,CA,48.7555,-91.6216,6.03,90,100,5.5,overcast clouds
337,Tambura,SS,5.6,27.4667,75.7,16,84,5.68,broken clouds
338,Salalah,OM,17.0151,54.0924,67.8,31,7,12.57,clear sky
339,Sri Aman,MY,1.2376,111.4621,71.65,100,100,0,moderate rain
340,Half Moon Bay,US,37.4636,-122.4286,65.16,82,100,18.41,mist
341,Constitucion,CL,-35.3333,-72.4167,62.22,77,4,7.38,clear sky
342,Waingapu,ID,-9.6567,120.2641,79.7,84,10,7.25,clear sky
343,Rapid Valley,US,44.0625,-103.1463,49.06,44,100,12.66,overcast clouds
344,Qaqortoq,GL,60.7167,-46.0333,6.04,54,3,32.79,clear sky
345,Santiago,CL,-33.4569,-70.6483,83.64,38,0,17.27,clear sky
346,Pacifica,US,37.6138,-122.4869,64.29,84,100,18.41,mist
347,Yashalta,RU,46.3395,42.2762,31.64,64,0,7.2,clear sky
